Keyword,Current Position,Monthly Impressions,Monthly Clicks,Current CTR,CTR Potential,Traffic Potential,Opportunity Score,Opportunity Type,Priority
how much does math tutoring cost,37.1,30,0,0.00%,2.00%,0,54.3,Long-term Target,Medium
home school tutor near me,33.1,28,0,0.00%,2.00%,0,54.3,Long-term Target,Medium
games for kids,34.1,11,0,0.00%,2.00%,0,54.3,Long-term Target,Medium
1st grade math tutor,45.3,151,0,0.00%,2.00%,3,54.3,Long-term Target,Medium
maths tuition for kids k-6,36.6,36,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
maths tutors in my area,44.0,254,0,0.00%,2.00%,5,54.2,Long-term Target,Medium
go programming tutors,42.7,20,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
educational xbox 360 games,29.6,11,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
is tutor.com legit,43.7,11,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
extra curricular activities for 6 year olds,29.1,10,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
25 year old thinker,33.2,14,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
geometry tutoring near me,49.5,350,0,0.00%,2.00%,7,54.2,Long-term Target,Medium
extra curricular activities for 5 year olds,29.3,13,0,0.00%,2.00%,0,54.2,Long-term Target,Medium
algebra tutors,73.3,3433,0,0.00%,2.00%,68,54.2,Long-term Target,Medium
immediate edge elon musk,44.2,115,0,0.00%,2.00%,2,54.1,Long-term Target,Medium
kids group activity,32.1,16,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
high school math tutor near me,45.8,33,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
child development tutoring,42.6,19,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
best online maths classes for kids,45.1,131,0,0.00%,2.00%,2,54.1,Long-term Target,Medium
home tuition for class 1 to 5,41.4,80,0,0.00%,2.00%,1,54.1,Long-term Target,Medium
in person math tutor near me,32.9,14,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
maths extra classes near me,50.1,270,0,0.00%,2.00%,5,54.1,Long-term Target,Medium
first in math in login,38.9,10,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
ancient china flashcards,37.3,38,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
maths tutoring for confidence building,37.0,36,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
elementary tutors,47.0,475,0,0.00%,2.00%,9,54.1,Long-term Target,Medium
activities for groups of kids,31.0,13,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
grade 11 math tutor online​,28.4,21,0,0.00%,2.00%,0,54.1,Long-term Target,Medium
educational games for kids that are fun,55.4,520,0,0.00%,2.00%,10,54.0,Long-term Target,Medium
chat gpt family plan,42.6,31,0,0.00%,2.00%,0,54.0,Long-term Target,Medium
how much do math tutors make,45.7,213,0,0.00%,2.00%,4,54.0,Long-term Target,Medium
learning plaform for kids,49.4,54,0,0.00%,2.00%,1,54.0,Long-term Target,Medium
3rd grade tutoring,54.4,450,0,0.00%,2.00%,9,54.0,Long-term Target,Medium
lifetime kids academy,22.7,23,0,0.00%,2.00%,0,54.0,Long-term Target,Medium
camp captivate,32.4,16,0,0.00%,2.00%,0,54.0,Long-term Target,Medium
after-school programs examples,42.3,22,0,0.00%,2.00%,0,54.0,Long-term Target,Medium
cost of kumon tutoring,38.0,77,0,0.00%,2.00%,1,54.0,Long-term Target,Medium
how to hire a homeschool teacher,42.3,107,0,0.00%,2.00%,2,53.9,Long-term Target,Medium
math tutor remote,32.9,15,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
elon musk children names and ages,54.1,26,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
math tutor youtube,34.5,22,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
grade 5 tutor,44.1,103,0,0.00%,2.00%,2,53.9,Long-term Target,Medium
how to be a math tutor,39.5,53,0,0.00%,2.00%,1,53.9,Long-term Target,Medium
ipad math,40.7,60,0,0.00%,2.00%,1,53.9,Long-term Target,Medium
how to unblock games on school chromebook,48.4,18,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
comb over with design,36.4,15,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
educational gaming platforms,40.7,59,0,0.00%,2.00%,1,53.9,Long-term Target,Medium
french tutors,78.6,3680,0,0.00%,2.00%,73,53.9,Long-term Target,Medium
how much does it cost to hire a private teacher,36.3,41,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
math teacher tutors,44.9,25,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
mathematics tutoring online,37.2,34,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
240 tutoring jobs,41.3,39,0,0.00%,2.00%,0,53.9,Long-term Target,Medium
adhd tutor,73.8,2339,0,0.00%,2.00%,46,53.9,Long-term Target,Medium
adastra ai,42.9,84,0,0.00%,2.00%,1,53.9,Long-term Target,Medium
summer school for kids,16.6,71,1,1.41%,0.59%,0,53.8,Top 10 Push,Medium
math teachers online,26.1,11,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
join superhuman ai,33.8,19,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
child challenges at school,32.6,14,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
enriching syn,48.9,48,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
can video games be educational,33.3,43,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
math teaching ai,39.7,10,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
best ai tutor,30.0,75,3,4.00%,0.00%,0,53.8,First Page Push,Medium
240 tutoring practice test,45.7,11,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
beyond compare alternative,48.8,210,0,0.00%,2.00%,4,53.8,Long-term Target,Medium
kumon math price,34.8,16,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
7 year old struggling with maths,38.5,22,0,0.00%,2.00%,0,53.8,Long-term Target,Medium
ad astra online free,39.8,10,0,0.00%,2.00%,0,53.7,Long-term Target,Medium
homeschool tutoring,62.7,1032,0,0.00%,2.00%,20,53.7,Long-term Target,Medium
elon application portal,30.4,13,0,0.00%,2.00%,0,53.7,Long-term Target,Medium
cheap maths tutors near me,44.2,21,0,0.00%,2.00%,0,53.7,Long-term Target,Medium
learn synthesizer,41.1,64,0,0.00%,2.00%,1,53.7,Long-term Target,Medium
free online tutor no sign up,37.8,35,0,0.00%,2.00%,0,53.7,Long-term Target,Medium
dan referral code,39.0,43,0,0.00%,2.00%,0,53.7,Long-term Target,Medium
best math tutor near me,36.3,182,0,0.00%,2.00%,3,53.7,Long-term Target,Medium
elon musk contact number,40.4,32,0,0.00%,2.00%,0,53.7,Long-term Target,Medium
math tuition teacher near me,43.7,90,0,0.00%,2.00%,1,53.7,Long-term Target,Medium
home math tutors,42.0,68,0,0.00%,2.00%,1,53.7,Long-term Target,Medium
how to unblock games on school computer,53.9,186,0,0.00%,2.00%,3,53.7,Long-term Target,Medium
immediate revolution 360 erfahrungen,46.1,28,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
elon academic schedule,41.6,13,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
cpm math,58.7,62,0,0.00%,2.00%,1,53.6,Long-term Target,Medium
8605 santa monica blvd west hollywood ca,38.8,16,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
5th grade tutors,45.5,122,0,0.00%,2.00%,2,53.6,Long-term Target,Medium
educational games for 6 years old,41.2,12,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
math tutor fees,35.3,22,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
blessing neurology,41.4,59,0,0.00%,2.00%,1,53.6,Long-term Target,Medium
ayden elementary,37.2,14,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
mathematical monthly,43.1,16,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
how much is kumon tutoring,45.6,53,0,0.00%,2.00%,1,53.6,Long-term Target,Medium
12:30am pt,41.8,13,0,0.00%,2.00%,0,53.6,Long-term Target,Medium
coding tutor,68.1,2259,0,0.00%,2.00%,45,53.5,Long-term Target,Medium
how much do tutors make,45.9,414,0,0.00%,2.00%,8,53.5,Long-term Target,Medium
math tutor help,18.0,234,0,0.00%,2.00%,4,53.5,Top 10 Push,Medium
chatgpt alternative for math,42.4,73,0,0.00%,2.00%,1,53.5,Long-term Target,Medium
ai synthesia,40.8,180,0,0.00%,2.00%,3,53.5,Long-term Target,Medium
elon musk ecole,42.4,14,0,0.00%,2.00%,0,53.5,Long-term Target,Medium
learning games 7 year olds,39.4,25,0,0.00%,2.00%,0,53.5,Long-term Target,Medium
math potentials,39.6,43,0,0.00%,2.00%,0,53.5,Long-term Target,Medium
dash pods avis,44.7,97,0,0.00%,2.00%,1,53.5,Long-term Target,Medium
best tutor for maths,40.9,51,0,0.00%,2.00%,1,53.5,Long-term Target,Medium
elementary school home tutoring,48.0,157,0,0.00%,2.00%,3,53.5,Long-term Target,Medium
k5 math,46.8,105,0,0.00%,2.00%,2,53.5,Long-term Target,Medium
ai-powered tutoring,48.4,175,1,0.57%,1.43%,2,53.5,Long-term Target,Medium
ad astra school reviews,35.2,10,0,0.00%,2.00%,0,53.5,Long-term Target,Medium
habits to boost self-confidence,48.2,162,0,0.00%,2.00%,3,53.5,Long-term Target,Medium
homeschool tutors santa monica,43.2,75,0,0.00%,2.00%,1,53.5,Long-term Target,Medium
bryce all my children,38.8,18,0,0.00%,2.00%,0,53.5,Long-term Target,Medium
in home math tutor,20.5,395,0,0.00%,2.00%,7,53.4,Long-term Target,Medium
best video games for 7 year olds,29.4,49,0,0.00%,2.00%,0,53.4,First Page Push,Medium
1st grade tutor,38.9,38,0,0.00%,2.00%,0,53.4,Long-term Target,Medium
8605 santa monica blvd west hollywood ca 90069,40.7,25,0,0.00%,2.00%,0,53.4,Long-term Target,Medium
math and reading tutor,18.2,44,0,0.00%,2.00%,0,53.4,Long-term Target,Medium
maths ai app,36.1,23,0,0.00%,2.00%,0,53.4,Long-term Target,Medium
amazon neuro socks,43.9,17,0,0.00%,2.00%,0,53.4,Long-term Target,Medium
math teacher gift,46.2,116,0,0.00%,2.00%,2,53.4,Long-term Target,Medium
math enrichment,95.0,7490,0,0.00%,2.00%,149,53.3,Long-term Target,Medium
adult maths tutor,49.1,176,0,0.00%,2.00%,3,53.3,Long-term Target,Medium
confidence-building programs for youth,36.8,25,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
best tutor system,49.2,40,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
ipad numbers tutorial,37.3,27,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
france and son discount code,59.1,640,0,0.00%,2.00%,12,53.3,Long-term Target,Medium
free online math tutor for 4th grade,14.0,42,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
elementary tutors near me,49.5,1143,0,0.00%,2.00%,22,53.3,Long-term Target,Medium
math tutor website,22.5,782,0,0.00%,2.00%,15,53.3,First Page Push,Medium
atypical ai,43.0,44,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
best math teacher in world,45.7,22,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
care.com tutors,40.6,10,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
hire a math tutor,45.8,195,0,0.00%,2.00%,3,53.3,Long-term Target,Medium
math teacher app,31.5,10,0,0.00%,2.00%,0,53.3,Long-term Target,Medium
best video games for 6 year olds,28.2,36,0,0.00%,2.00%,0,53.2,First Page Push,Medium
indian math tutor online,44.7,88,0,0.00%,2.00%,1,53.2,Long-term Target,Medium
ad astra tuition,41.6,11,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
math academy tutoring,42.3,59,0,0.00%,2.00%,1,53.2,Long-term Target,Medium
math 2 tutors,45.2,20,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
body tutor,31.6,11,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
free touch math worksheets,45.1,93,0,0.00%,2.00%,1,53.2,Long-term Target,Medium
android tutor,33.2,13,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
math tutor center near me,49.7,188,0,0.00%,2.00%,3,53.2,Long-term Target,Medium
best maths and science tuition near me,43.9,77,0,0.00%,2.00%,1,53.2,Long-term Target,Medium
educational games ks3,43.1,14,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
how to tutor algebra,49.2,187,0,0.00%,2.00%,3,53.2,Long-term Target,Medium
kids online summer camp,43.9,16,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
maths tuition for class 11 near me,52.3,266,0,0.00%,2.00%,5,53.2,Long-term Target,Medium
math tutor training,32.5,15,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
explore learning online tutor,51.5,55,0,0.00%,2.00%,1,53.2,Long-term Target,Medium
math help services login,41.2,10,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
english maths tutor,47.2,127,0,0.00%,2.00%,2,53.2,Long-term Target,Medium
add tutor,37.3,26,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
elon musk home,60.8,45,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
2nd grade tutors near me,38.2,10,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
math education for kids,39.1,35,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
math worksheets for adhd students,41.0,48,0,0.00%,2.00%,0,53.2,Long-term Target,Medium
fun games that are educational for kids,58.4,568,0,0.00%,2.00%,11,53.2,Long-term Target,Medium
is tutor com free,44.9,20,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
elementary school math help,16.7,15,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
math tutor price,46.6,134,0,0.00%,2.00%,2,53.1,Long-term Target,Medium
math tutor website free,10.6,91,0,0.00%,2.00%,1,53.1,Long-term Target,Medium
in person math tutor,34.5,64,0,0.00%,2.00%,1,53.1,Long-term Target,Medium
become a math tutor,47.0,130,0,0.00%,2.00%,2,53.1,Long-term Target,Medium
dyslexia memes,41.4,47,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
11th grade math tutor,49.0,36,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
knowable essentials package,49.6,40,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
father of micro teaching,47.1,26,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
how to tutor in math,36.3,21,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
how much do spanish tutors charge,36.0,15,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
elon musk official page,34.7,16,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
children's confidence,43.0,13,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
hey tutor.com,31.8,21,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
home education tutors near me,46.9,25,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
educational games to buy for kids,57.0,469,0,0.00%,2.00%,9,53.1,Long-term Target,Medium
astra app for android,41.5,10,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
math learning center app,36.9,23,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
math tutor near me for 8th grade,45.0,18,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
live math tutor online free,42.1,11,0,0.00%,2.00%,0,53.1,Long-term Target,Medium
99.math,36.0,86,0,0.00%,2.00%,1,53.1,Long-term Target,Medium
lifetime kids academy hours,11.1,236,0,0.00%,2.00%,4,53.0,Top 10 Push,Medium
first in math games,49.8,201,0,0.00%,2.00%,4,53.0,Long-term Target,Medium
maths teacher for home tuition,48.8,34,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
games like math blaster,32.1,10,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
education in video games,22.0,27,0,0.00%,2.00%,0,53.0,First Page Push,Medium
ipad baby,59.0,27,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
free chromebook for homeschool,36.3,15,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
math tutor miami,62.1,1025,0,0.00%,2.00%,20,53.0,Long-term Target,Medium
good maths teacher near me,42.3,11,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
elemantary school tutor,45.5,19,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
am tutoring,34.6,15,0,0.00%,2.00%,0,53.0,Long-term Target,Medium
kids tutor,21.1,387,0,0.00%,2.00%,7,53.0,First Page Push,Medium
math makes sense 1,53.9,75,0,0.00%,2.00%,1,53.0,Long-term Target,Medium
best tablet for homeschooling,47.4,119,0,0.00%,2.00%,2,53.0,Long-term Target,Medium
maths my tutor,49.4,160,0,0.00%,2.00%,3,53.0,Long-term Target,Medium
before school care activities,44.2,15,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
intimidated deutsch,48.9,33,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
math learning near me,38.4,28,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
how to unblock hollywood account,43.9,14,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
99 math play,8.6,83,0,0.00%,3.00%,2,52.9,Long-term Target,Medium
elon musk kids,66.9,1349,0,0.00%,2.00%,26,52.9,Long-term Target,Medium
just tutors,45.4,18,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
lwc targets,43.9,14,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
educational games for 7 yr olds,44.0,68,0,0.00%,2.00%,1,52.9,Long-term Target,Medium
gaming camp for kids,56.6,476,0,0.00%,2.00%,9,52.9,Long-term Target,Medium
free tutors for kids near me,49.8,165,0,0.00%,2.00%,3,52.9,Long-term Target,Medium
best math teacher,53.4,345,0,0.00%,2.00%,6,52.9,Long-term Target,Medium
remote math tutor jobs,38.7,18,1,5.56%,0.00%,0,52.9,Long-term Target,Medium
math tutors for elementary students,12.9,51,0,0.00%,2.00%,1,52.9,Top 10 Push,Medium
2pm to 8am is how many hours,50.2,40,0,0.00%,2.00%,0,52.9,Long-term Target,Medium
first tutors,52.4,311,0,0.00%,2.00%,6,52.8,Long-term Target,Medium
best ai for math,61.0,527,0,0.00%,2.00%,10,52.8,Long-term Target,Medium
find a maths tutor near me,49.4,383,0,0.00%,2.00%,7,52.8,Long-term Target,Medium
camp games,66.2,465,0,0.00%,2.00%,9,52.8,Long-term Target,Medium
first class tutors,46.0,93,0,0.00%,2.00%,1,52.8,Long-term Target,Medium
math tutor wanted,38.9,29,0,0.00%,2.00%,0,52.8,Long-term Target,Medium
math tuition classes,39.6,33,0,0.00%,2.00%,0,52.8,Long-term Target,Medium
how do you spell friendliness,44.5,72,0,0.00%,2.00%,1,52.8,Long-term Target,Medium
online tutor for kids,24.3,1121,1,0.09%,1.91%,21,52.8,First Page Push,Medium
best maths tutor online,46.5,1153,0,0.00%,2.00%,23,52.8,Long-term Target,Medium
3rd grade tutor,55.4,351,0,0.00%,2.00%,7,52.8,Long-term Target,Medium
lifetime card table,51.6,210,0,0.00%,2.00%,4,52.8,Long-term Target,Medium
best maths teacher online,52.9,59,0,0.00%,2.00%,1,52.8,Long-term Target,Medium
elementary tutor,47.1,199,0,0.00%,2.00%,3,52.8,Long-term Target,Medium
how much do tutors make on tutor com,42.0,48,0,0.00%,2.00%,0,52.8,Long-term Target,Medium
free math tutor online live chat,48.6,29,0,0.00%,2.00%,0,52.8,Long-term Target,Medium
math tutor per hour,36.8,28,0,0.00%,2.00%,0,52.8,Long-term Target,Medium
after school care activities,35.3,18,0,0.00%,2.00%,0,52.8,Long-term Target,Medium
ai math app,32.8,101,0,0.00%,2.00%,2,52.8,Long-term Target,Medium
homeschooling with private tutors,51.5,202,0,0.00%,2.00%,4,52.8,Long-term Target,Medium
best maths tuition near me,49.9,369,0,0.00%,2.00%,7,52.8,Long-term Target,Medium
easy educational games for kids,45.1,76,0,0.00%,2.00%,1,52.7,Long-term Target,Medium
how much does superhuman cost,46.4,38,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
ai tutor app,26.4,108,0,0.00%,2.00%,2,52.7,First Page Push,Medium
adastra game,50.0,193,0,0.00%,2.00%,3,52.7,Long-term Target,Medium
fonde elementary school,53.0,15,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
math tutor rates per hour,42.5,17,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
games educational kids,40.6,37,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
best maths classes for kids,57.8,124,0,0.00%,2.00%,2,52.7,Long-term Target,Medium
is summer school hard,35.7,19,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
how much do math tutors charge per hour,32.5,11,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
math ipad,41.9,46,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
elon musk new child,54.1,12,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
ai-powered tutoring services,49.9,35,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
clm tutoring,47.2,22,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
elon musk tablet,33.0,10,0,0.00%,2.00%,0,52.7,Long-term Target,Medium
how to do math,60.7,155,0,0.00%,2.00%,3,52.6,Long-term Target,Medium
deep ai math,39.7,31,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
how to use tesla referral credit,52.6,228,0,0.00%,2.00%,4,52.6,Long-term Target,Medium
dyscalculia network,51.1,42,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
learn to be tutoring reviews,40.6,38,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
grade 11 math tutor near me,52.5,51,0,0.00%,2.00%,1,52.6,Long-term Target,Medium
adhd thrive method cost,37.7,79,0,0.00%,2.00%,1,52.6,Long-term Target,Medium
free adaptive math programs,37.2,17,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
can you learn math on your own,44.0,60,0,0.00%,2.00%,1,52.6,Long-term Target,Medium
how does tutor com work,42.2,18,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
99 math com,9.6,40,0,0.00%,2.50%,1,52.6,Long-term Target,Medium
how much does elon musk make per day,48.9,14,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
life science flashcards,48.6,124,0,0.00%,2.00%,2,52.6,Long-term Target,Medium
josh hollywood,71.2,28,0,0.00%,2.00%,0,52.6,Long-term Target,Medium
class 11 maths tuition near me,50.5,163,0,0.00%,2.00%,3,52.6,Long-term Target,Medium
how much are maths tutors,46.9,96,0,0.00%,2.00%,1,52.6,Long-term Target,Medium
maths tutor for primary school,50.1,151,0,0.00%,2.00%,3,52.6,Long-term Target,Medium
math tutor online free chat,36.3,73,0,0.00%,2.00%,1,52.6,Long-term Target,Medium
1st grade tutors,41.5,25,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
after school tuition near me,49.7,146,0,0.00%,2.00%,2,52.5,Long-term Target,Medium
how do you spell tutors,45.6,16,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
kumon age range,39.6,29,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
a maths tuition,33.5,129,0,0.00%,2.00%,2,52.5,Long-term Target,Medium
beyond compare trial,47.5,22,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
extracurricular activities for elementary students,45.9,127,0,0.00%,2.00%,2,52.5,Long-term Target,Medium
elon application,49.7,195,0,0.00%,2.00%,3,52.5,Long-term Target,Medium
avis elementary school,38.5,24,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
adventure academy compatible devices,42.9,10,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
father of micro teaching in india,42.9,10,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
3d modeling tutors,39.3,27,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
elon musk schooling,38.0,49,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
math tutoring jobs,58.1,324,0,0.00%,2.00%,6,52.5,Long-term Target,Medium
maths tutor cost,61.0,662,0,0.00%,2.00%,13,52.5,Long-term Target,Medium
clm tutor,20.2,918,0,0.00%,2.00%,18,52.5,Long-term Target,Medium
7am to 3pm,56.1,24,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
math chat gpt free,41.5,44,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
math on ipad,42.9,49,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
best math teacher online,48.0,23,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
find me tutor,40.0,15,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
building confidence in kids,41.6,216,0,0.00%,2.00%,4,52.5,Long-term Target,Medium
11th grade math tutoring near me,47.4,21,0,0.00%,2.00%,0,52.5,Long-term Target,Medium
group activities for children,37.9,55,0,0.00%,2.00%,1,52.4,Long-term Target,Medium
amazon flashcards,42.2,43,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
learning synthesizer,34.7,12,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
educational games for kids android,60.6,598,0,0.00%,2.00%,11,52.4,Long-term Target,Medium
in home school teacher,48.1,107,0,0.00%,2.00%,2,52.4,Long-term Target,Medium
how to unblock games on a school computer,50.2,158,0,0.00%,2.00%,3,52.4,Long-term Target,Medium
educational games for students,17.9,31,1,3.23%,0.00%,0,52.4,Long-term Target,Medium
body synergie,43.2,13,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
kindergarden tutor,38.6,23,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
how to build my child self confidence,50.2,33,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
extracurricular activities for 5 year olds,35.8,13,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
first grade tutoring,47.7,116,0,0.00%,2.00%,2,52.4,Long-term Target,Medium
maths trainer ai,34.8,12,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
elon musk children school,37.8,18,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
maths tutor work,50.9,161,0,0.00%,2.00%,3,52.4,Long-term Target,Medium
math tutoring programs,48.7,468,0,0.00%,2.00%,9,52.4,Long-term Target,Medium
critical thinking tutoring,47.6,21,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
atypical common sense media,34.9,14,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
children ipad price,43.8,11,0,0.00%,2.00%,0,52.4,Long-term Target,Medium
240 tutoring cost,42.3,10,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
in-person math tutors near me,42.0,40,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
math makes sense,55.4,300,0,0.00%,2.00%,6,52.3,Long-term Target,Medium
child math enrichment program,44.5,58,0,0.00%,2.00%,1,52.3,Long-term Target,Medium
chrisman studios,46.2,16,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
extracurricular activities for 4 year olds,42.4,12,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
code promo jane de boy,41.0,33,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
math educator,30.2,164,0,0.00%,2.00%,3,52.3,Long-term Target,Medium
math tutoring for adults free,48.6,110,0,0.00%,2.00%,2,52.3,Long-term Target,Medium
math is fun.com,47.0,20,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
math tuition near me,50.6,640,0,0.00%,2.00%,12,52.3,Long-term Target,Medium
joshs cards,37.1,11,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
care com tutors,24.0,24,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
7am cet,43.6,11,0,0.00%,2.00%,0,52.3,Long-term Target,Medium
kids tesla,45.3,37,0,0.00%,2.00%,0,52.2,Long-term Target,Medium
420 science coupon,46.1,14,0,0.00%,2.00%,0,52.2,Long-term Target,Medium
mathtutor.com,33.6,10,0,0.00%,2.00%,0,52.2,Long-term Target,Medium
ai for math free,23.8,15,0,0.00%,2.00%,0,52.2,Long-term Target,Medium
best video games for toddlers,30.6,10,0,0.00%,2.00%,0,52.2,Long-term Target,Medium
educational but fun games for kids,60.8,569,0,0.00%,2.00%,11,52.2,Long-term Target,Medium
