#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1438,learning app for kids,us,87,150,,,kids learning apps,2025-05-11 01:39:49,"People also ask,Sitelinks,Top stories,Video preview,Thumbnail",700,2600,2600,2015-10-31,"Informational,Non-branded,Non-local"
1439,best schools for kids with adhd,us,14,150,,,schools for kids with adhd,2025-05-27 20:22:03,"AI overview,Thumbnail,People also ask,Sitelinks",200,350,400,2016-03-08,"Informational,Non-branded,Non-local"
1440,math flash cards online,us,21,150,0.90,1.56,math flashcards,2025-05-12 23:51:11,Sitelinks,250,12000,14000,2015-10-22,"Informational,Non-branded,Non-local"
1441,unlock free games for school,us,73,150,,,unblocked games 76,2025-06-01 05:05:59,"Sitelinks,People also ask",150,522000,643000,2021-05-11,"Informational,Non-branded,Non-local"
1442,high school math tutors near me,us,15,150,,,private math tutor,2025-06-01 00:01:04,"Local pack,People also ask",200,3000,3100,2015-09-22,"Informational,Commercial,Non-branded,Local"
1443,math tutor miami,us,5,150,8.00,,math tutor miami,2025-05-22 13:09:37,"Local pack,People also ask,Thumbnail",200,80,80,2015-09-01,"Informational,Commercial,Non-branded,Local"
1444,programs for kids,us,53,150,,0.45,ymca programs,2025-05-16 15:39:40,"Local pack,Sitelinks,People also ask,Videos,Discussions",300,1400,1500,2015-11-14,"Informational,Non-branded,Non-local"
1445,best ipad games for kids,us,34,150,,1.3,ipad games for 5 year olds,2025-05-15 17:41:00,"Sitelinks,Discussions,Top stories,Thumbnail",250,250,350,2015-09-15,"Informational,Non-branded,Non-local"
1446,free ai for school,us,66,150,,,magic school ai,2025-05-07 21:41:19,"AI overview,Sitelinks,People also ask,Top stories,Video preview",200,110000,153000,2023-02-22,"Informational,Non-branded,Non-local"
1447,ipad teacher discount,us,14,150,0.40,0.88,apple student discount,2025-05-13 05:45:46,"Sitelinks,People also ask",300,331000,335000,2016-06-22,"Informational,Commercial,Branded,Non-local"
1448,critical thinking games for adults,us,8,150,1.00,,mind games for adults,2025-06-01 07:13:07,"Featured snippet,People also ask,Sitelinks,Discussions,Shopping,Thumbnail",450,300,1200,2015-11-14,"Informational,Non-branded,Non-local"
1449,coding for 12 year olds,us,54,150,1.80,,coding for 12 year olds,2025-06-02 08:28:43,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions",350,40,60,2015-12-19,"Informational,Non-branded,Non-local"
1450,maths tutoring near me,us,24,150,7.00,,mathnasium,2025-05-09 22:07:34,"People also ask,Knowledge panel",1400,43000,45000,2017-06-22,"Informational,Commercial,Non-branded,Local"
1451,homeschool math online,us,73,150,3.50,1.58,ctc math,2025-05-13 23:36:42,"Sitelinks,People also ask,Top stories,Video preview",250,18000,19000,2016-04-29,"Informational,Commercial,Non-branded,Non-local"
1452,games for kids in school,us,81,150,,,classroom games,2025-05-28 17:59:34,"Thumbnail,People also ask,Sitelinks,Top stories,Video preview",800,18000,30000,2017-03-29,"Informational,Non-branded,Non-local"
1453,best ipad games for 7 year olds free,us,28,150,0.60,,best ipad games for 7 year olds free,2025-06-02 05:22:50,"Sitelinks,Discussions",200,80,100,2020-12-01,"Informational,Non-branded,Non-local"
1454,desktop synth,us,0,150,0.25,0.85,desktop synth,2025-06-02 20:49:19,"Shopping,Thumbnail,Sitelinks",450,60,70,2015-10-01,"Informational,Commercial,Non-branded,Non-local"
1455,math apps for kindergarten,us,48,150,1.90,1.38,math for kids,2025-05-31 21:25:29,"Sitelinks,People also ask,Top stories,Thumbnail",150,5000,5000,2015-10-15,"Informational,Non-branded,Non-local"
1456,maths tutoring online,us,77,150,8.00,,mathnasium,2025-05-15 21:23:01,"Sitelinks,People also ask,Videos",600,43000,46000,2016-07-01,"Informational,Commercial,Non-branded,Non-local"
1457,ai math answer,us,50,150,0.70,,math solver,2025-05-09 11:58:17,Sitelinks,200,662000,1140000,2023-03-02,"Informational,Non-branded,Non-local"
1458,how much is summer camp per week,us,1,150,1.00,,how much does summer camp cost,2025-06-05 16:44:28,"Featured snippet,People also ask,Sitelinks,Discussions",200,200,200,2020-06-26,"Informational,Non-branded,Non-local"
1459,astra login,us,44,150,,,astra login,2025-06-03 00:02:32,Sitelinks,5900,20,9600,2018-04-17,"Navigational,Branded,Non-local"
1460,code promo claire's,us,13,150,,,claire's promo code,2025-05-07 12:25:09,Sitelinks,700,2900,3000,2020-01-09,"Informational,Commercial,Transactional,Branded,Non-local"
1461,free math lessons,us,92,150,1.20,1.06,math lessons site,2025-05-27 20:10:59,"Sitelinks,Discussions",200,2300,3000,2015-09-22,"Informational,Non-branded,Non-local"
1462,free homeschooling online,us,64,150,3.00,1.28,easy peasy homeschool,2025-05-11 22:43:58,"AI overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",300,43000,45000,2015-09-03,"Informational,Non-branded,Non-local"
1463,how to explain multiplication,us,2,150,0.70,,how to teach multiplication,2025-05-11 04:18:02,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks,Top stories,Video preview",200,400,600,2016-01-08,"Informational,Non-branded,Non-local"
1464,math tutoring for kids,us,70,150,,,mathnasium,2025-05-10 16:22:06,"Local pack,Sitelinks,People also ask",200,43000,45000,2015-12-02,"Informational,Commercial,Non-branded,Non-local"
1465,adhd tutors near me,us,0,150,7.00,,adhd tutors,2025-05-13 03:06:08,"Local pack,People also ask",300,1000,1000,2016-12-12,"Informational,Commercial,Non-branded,Local"
1466,chat gpt parent company,us,82,150,0.10,,who owns chat gpt,2025-05-17 07:31:01,"Featured snippet,People also ask,Sitelinks",300,5200,9600,2022-12-11,"Informational,Branded,Non-local"
1467,how much is space camp,us,38,150,2.00,0.82,space camp,2025-06-02 01:26:24,"Sitelinks,People also ask",150,15000,16000,2015-09-27,"Informational,Branded,Non-local"
1468,home tutor near me,us,41,150,5.00,,tutoring near me,2025-05-30 04:06:06,"Sitelinks,People also ask,Knowledge panel",6900,6700,7100,2016-06-03,"Informational,Commercial,Transactional,Non-branded,Local"
1469,5th grade math tutor near me,us,11,150,,,tutoring for 5th graders,2025-05-10 04:05:51,"Local pack,People also ask",200,200,200,2019-10-30,"Informational,Commercial,Non-branded,Local"
1470,home tutoring,us,86,150,4.00,0.47,superprof,2025-05-12 23:13:49,"Sitelinks,People also ask,Knowledge panel,Thumbnail",1300,22000,29000,2015-09-22,"Informational,Commercial,Non-branded,Non-local"
1471,computer summer camps,us,39,150,2.00,,id tech,2025-05-15 11:41:16,"Sitelinks,Local teaser pack",150,12000,13000,2016-01-14,"Informational,Non-branded,Non-local"
1472,coding tutor near me,us,0,150,7.00,,learn computer coding near me,2025-05-28 01:49:17,"People also ask,Knowledge panel",300,1200,1200,2018-04-07,"Informational,Commercial,Non-branded,Local"
1473,camp with mom apk,us,0,150,,,camp with mom,2025-05-09 04:57:05,,9100,450,14000,2021-06-13,"Transactional,Branded,Non-local"
1474,beyond astra,us,,150,,,,,,400,,,2018-09-22,
1475,laptop for game development,us,0,150,1.00,1.33,best laptop for game development,2025-05-31 06:42:03,"Sitelinks,AI overview,Thumbnail,People also ask,Top stories,Shopping",450,200,200,2015-09-24,"Informational,Commercial,Non-branded,Non-local"
1476,interactive math journey,us,0,150,0.09,1.29,interactive math journey,2025-05-11 10:40:19,"Thumbnail,Sitelinks,People also ask",200,80,90,2015-09-02,"Informational,Commercial,Transactional,Branded,Non-local"
1477,math 4 kids,us,69,150,,1.06,mathworksheets4kids,2025-05-12 20:25:43,"Sitelinks,Thumbnail",200,7400,9200,2015-09-09,"Informational,Non-branded,Non-local"
1478,1st grade tutoring,us,0,150,,,1st grade tutoring,2025-05-27 21:42:49,"People also ask,Discussions,Sitelinks",200,500,500,2015-09-10,"Informational,Commercial,Non-branded,Non-local"
1479,math tutor for 3rd grade near me,us,7,150,,,3rd grade math tutor,2025-05-23 14:20:27,"Local pack,People also ask",150,150,150,2020-02-27,"Informational,Commercial,Transactional,Non-branded,Local"
1480,college algebra tutors near me,us,5,150,,,algebra tutor near me,2025-05-27 18:48:15,"Local pack,People also ask,Sitelinks",200,700,700,2016-09-19,"Informational,Commercial,Transactional,Non-branded,Local"
1481,kids ipad cover,us,1,150,,,ipad case for kids,2025-05-10 17:48:44,"Shopping,Thumbnail,Sitelinks,Top stories,Discussions,People also ask",500,500,500,2015-10-26,"Informational,Commercial,Transactional,Non-branded,Non-local"
1482,math homework help online,us,70,150,2.00,,math solver,2025-06-01 13:38:36,"Sitelinks,People also ask",300,670000,1200000,2015-10-11,"Informational,Non-branded,Non-local"
1483,ct the challenge age,us,2,150,,0.62,ct the challenge age,2025-05-27 15:41:21,"People also ask,Thumbnail,Knowledge panel,Sitelinks",150,70,70,2016-11-20,"Informational,Branded,Non-local"
1484,discount classroom furniture,us,8,150,1.00,1.5,classroom furniture,2025-05-29 12:54:45,"Sitelinks,Shopping,Thumbnail",250,3400,3700,2015-12-20,"Commercial,Transactional,Non-branded,Non-local"
1485,coding for 10 year olds,us,51,150,1.80,,coding for 10 year olds,2025-05-07 02:25:06,"AI overview,Sitelinks,People also ask,Discussions,Top stories,Video preview",400,60,100,2016-09-25,"Informational,Non-branded,Non-local"
1486,elon musk chat gpt,us,57,150,0.60,,who owns openai,2025-05-28 02:29:31,"People also ask,Top stories,Thumbnail,Sitelinks",800,3100,5800,2022-12-05,"Informational,Branded,Non-local"
1487,how to teach kids,us,12,150,,0.57,how to teach kids,2025-05-28 21:41:48,"AI overview,Thumbnail,People also ask,Sitelinks,Discussions",800,40,300,2015-10-22,"Informational,Non-branded,Non-local"
1488,fun ways to learn multiplication,us,35,150,0.90,1.04,fun ways to teach multiplication,2025-05-31 22:19:39,"AI overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",150,400,800,2015-09-09,"Informational,Non-branded,Non-local"
1489,kids comb over,us,0,150,,0.09,comb over haircut for kids,2025-05-12 01:52:22,"Thumbnail,Discussions,Sitelinks",150,40,50,2016-01-30,"Informational,Non-branded,Non-local"
1490,division flashcards,us,3,150,0.50,1.5,division flash cards,2025-05-10 11:31:49,"Sitelinks,People also ask",250,500,600,2015-10-08,"Informational,Non-branded,Non-local"
1491,best way to learn multiplication facts,us,1,150,0.80,,how to learn multiplication,2025-06-06 02:51:32,"AI overview,Thumbnail,People also ask,Sitelinks,Top stories",150,1600,1800,2015-09-01,"Informational,Non-branded,Non-local"
1492,how much do math teachers make,us,6,150,0.25,0.56,how much do math teachers make,2025-05-21 22:31:05,"Featured snippet,People also ask,Sitelinks",150,0,0,2015-09-11,"Informational,Non-branded,Non-local"
1493,math tools for students,us,78,150,1.00,,math,2025-05-10 00:17:26,"AI overview,Thumbnail,People also ask,Sitelinks",250,7200,10000,2016-07-24,"Informational,Non-branded,Non-local"
1494,leadership games for students,us,6,150,0.20,,leadership games,2025-05-28 15:48:44,"AI overview,Thumbnail,People also ask,Sitelinks",350,600,800,2015-09-08,"Informational,Non-branded,Non-local"
1495,240 tutoring practice test,us,1,150,0.40,,240 tutoring,2025-05-10 17:25:45,"Sitelinks,People also ask",150,46000,48000,2018-01-31,"Informational,Branded,Non-local"
1496,free ai tutor,us,51,150,0.70,,ai homework helper,2025-05-11 07:11:52,"Sitelinks,People also ask",400,15000,18000,2023-03-26,"Informational,Non-branded,Non-local"
1497,how to teach times tables,us,9,150,0.60,0.96,how to teach multiplication tables,2025-05-31 22:55:03,"AI overview,Thumbnail,People also ask,Sitelinks",700,800,800,2015-09-15,"Informational,Non-branded,Non-local"
1498,math design,us,3,150,0.04,0.28,math background,2025-05-18 23:59:17,"Thumbnail,Top stories,Video preview,Sitelinks",6800,250,1700,2015-09-09,"Informational,Non-branded,Non-local"
1499,best maths tutor online,us,40,150,9.00,,best online math tutor,2025-06-02 00:14:16,"Featured snippet,People also ask,Sitelinks,Top stories,Thumbnail",350,150,150,2021-07-27,"Informational,Commercial,Non-branded,Non-local"
1500,kids learning cards,us,2,150,,,educational cards,2025-05-22 08:04:04,"Shopping,Thumbnail,Sitelinks,Top stories,Video preview,Discussions",350,200,200,2019-10-26,"Informational,Commercial,Transactional,Non-branded,Non-local"
1501,ad astra company,us,57,150,,0.55,ad astra,2025-06-01 16:00:48,"Sitelinks,People also ask,Knowledge panel,Thumbnail",350,200,350,2015-11-17,"Informational,Branded,Non-local"
1502,a level maths tuition,us,0,150,,,a level maths tuition,2025-05-27 14:26:13,"People also ask,Sitelinks",600,20,100,2020-01-10,"Informational,Commercial,Non-branded,Non-local"
1503,math training,us,83,150,0.00,0.66,math,2025-05-12 20:55:32,"Sitelinks,Top stories,Thumbnail",1700,53000,85000,2015-09-24,"Informational,Non-branded,Non-local"
1504,best online math tutoring,us,63,150,9.00,,mathnasium,2025-05-30 23:18:18,"AI overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",250,44000,48000,2017-02-16,"Informational,Commercial,Non-branded,Non-local"
1505,around the world math game,us,1,150,0.20,0.93,around the world math game,2025-06-01 12:58:49,"People also ask,Sitelinks",200,150,200,2015-10-08,"Informational,Non-branded,Non-local"
1506,math and reading tutoring,us,58,150,6.00,,sylvan learning center,2025-05-21 23:01:55,"Local pack,Sitelinks,People also ask,Thumbnail",200,14000,16000,2016-01-30,"Informational,Commercial,Non-branded,Non-local"
1507,coding for 7 year olds,us,53,150,1.30,,programming for kids,2025-05-30 01:22:30,"Top ads,Sitelinks,People also ask,Discussions",450,4700,8500,2016-05-10,"Informational,Non-branded,Non-local"
1508,kid credit card free,us,31,150,,,greenlight card,2025-05-21 21:36:11,"Sitelinks,People also ask,Discussions",150,112000,116000,2016-08-15,"Informational,Commercial,Non-branded,Non-local"
1509,math apps for 5th graders,us,13,150,2.00,,math apps for kids,2025-05-15 07:16:01,"AI overview,People also ask,Sitelinks",200,4000,5500,2015-10-27,"Informational,Non-branded,Non-local"
1510,fun school appropriate games,us,65,150,,,abcya,2025-05-12 03:50:08,"People also ask,Sitelinks,Thumbnail,Top stories,Video preview",150,2500000,2670000,2016-10-06,"Informational,Non-branded,Non-local"
1511,math enrichment programs,us,11,150,2.50,,math enrichment programs,2025-05-28 00:51:53,"People also ask,Knowledge panel,Sitelinks",200,100,100,2015-10-09,"Informational,Non-branded,Non-local"
1512,elementary math tutor near me,us,15,150,7.00,,math tutors near me,2025-05-16 08:41:24,"Local pack,People also ask",250,3200,3300,2018-09-13,"Informational,Commercial,Non-branded,Local"
1513,best math apps for adults,us,4,150,1.10,0.85,best free math apps,2025-06-03 01:41:15,"Sitelinks,People also ask,Discussions",250,800,1000,2015-09-22,"Informational,Non-branded,Non-local"
1514,ap computer science a tutor,us,4,150,6.00,,ap computer science a tutor,2025-05-13 05:05:05,Sitelinks,250,150,150,2018-08-22,"Informational,Commercial,Transactional,Non-branded,Non-local"
1515,7th grade math tutor,us,18,150,,,7th grade math tutor,2025-05-31 05:20:43,"People also ask,Sitelinks",250,250,250,2015-09-19,"Informational,Commercial,Non-branded,Non-local"
1516,math flash cards app,us,21,150,1.10,0.5,math flash cards app,2025-05-11 18:57:12,,200,350,350,2015-09-09,"Informational,Commercial,Non-branded,Non-local"
1517,critical thinking games for kids,us,10,150,,1.17,critical thinking activities for kids,2025-06-02 00:19:38,"Featured snippet,Top ads,Paid sitelinks,Sitelinks,People also ask,Shopping,Thumbnail,Discussions",350,90,150,2016-02-29,"Informational,Commercial,Non-branded,Non-local"
1518,algebra tutor online,us,24,150,9.00,,algebra tutor,2025-05-28 09:25:06,People also ask,200,1200,1300,2015-09-11,"Informational,Commercial,Transactional,Non-branded,Non-local"
1519,collaborative games,us,7,150,0.30,0.47,best cooperative board games,2025-05-08 11:23:05,"Thumbnail,People also ask,Sitelinks,Top stories,Video preview",450,3200,4500,2015-10-09,"Informational,Non-branded,Non-local"
1520,8th grade math lessons,us,24,150,,1.1,8th grade math,2025-05-28 09:14:16,"Sitelinks,People also ask",200,6700,9300,2015-09-07,"Informational,Non-branded,Non-local"
1521,3rd grade math tutor near me,us,8,150,,,3rd grade math tutor,2025-05-15 09:28:30,"Top ads,Paid sitelinks,Local pack,People also ask,Sitelinks,Bottom ads",200,150,150,2017-12-21,"Informational,Commercial,Transactional,Non-branded,Local"
1522,6th grade math tutor near me,us,2,150,,,6th grade math tutor,2025-05-11 06:28:21,"Local pack,People also ask",200,150,150,2018-01-18,"Informational,Commercial,Non-branded,Local"
1523,free online tutoring for kids,us,59,150,,,learntobe,2025-05-29 21:45:29,"Sitelinks,People also ask",200,6100,6800,2015-10-06,"Informational,Non-branded,Non-local"
1524,dad math worksheets,us,5,150,0.70,,dadsworksheets,2025-05-12 01:20:05,Sitelinks,150,2900,3300,2016-02-23,"Informational,Non-branded,Non-local"
1525,7th grade math tutor near me,us,6,150,,,7th grade math tutor,2025-05-08 03:35:49,"Local pack,People also ask,Sitelinks",200,250,250,2018-03-11,"Informational,Commercial,Non-branded,Local"
1526,kids mechanic set,us,0,150,,0.94,car mechanic toys for toddlers,2025-05-20 07:12:34,"Shopping Ads,Thumbnail,Shopping,Sitelinks",500,200,200,2015-10-09,"Commercial,Transactional,Non-branded,Non-local"
1527,awesome math summer program,us,3,150,1.50,,awesome math summer program,2025-05-29 10:25:04,"Sitelinks,People also ask,Discussions",200,150,200,2016-02-06,"Informational,Branded,Non-local"
1528,math go,us,28,150,0.40,2.38,go math,2025-05-18 13:07:03,"Sitelinks,People also ask,Top stories,Thumbnail",400,6100,6900,2015-09-09,"Informational,Non-branded,Non-local"
1529,kids boot camp near me,us,4,150,,,young marines,2025-06-06 01:42:14,"Local pack,People also ask,Sitelinks",200,2800,2800,2018-07-22,"Informational,Non-branded,Local"
1530,download superhuman,us,0,150,0.10,,download superhuman,2025-05-12 18:43:07,"Sitelinks,Top stories",200,300,350,2019-10-03,"Transactional,Branded,Non-local"
1531,5th grade tutoring near me,us,0,150,,,tutoring for 5th graders,2025-05-12 21:42:22,"Local pack,People also ask",200,100,100,2020-05-18,"Informational,Commercial,Non-branded,Local"
1532,all my children bryce,us,30,150,,0.39,gunther friends,2025-05-23 15:23:47,"AI overview,Thumbnail,Featured snippet,People also ask,Sitelinks",300,400,900,2015-09-20,"Informational,Branded,Non-local"
1533,elon musk scholarship,us,0,150,0.60,,musk foundation,2025-06-05 10:24:20,"People also ask,Sitelinks",250,4600,4900,2016-06-13,"Informational,Non-branded,Non-local"
1534,chromebooks for kids,us,14,150,,1.07,chromebook for kids,2025-05-22 15:01:28,"Sitelinks,Thumbnail,People also ask,Shopping,Discussions",200,1500,1600,2015-11-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
1535,math ai apps,us,21,150,1.30,,math ai,2025-05-13 13:34:48,"Sitelinks,People also ask",200,700,1000,2023-05-02,"Informational,Non-branded,Non-local"
1536,adaptive trial design,us,35,150,2.50,1.36,adaptive trial design,2025-05-13 01:10:52,"People also ask,Knowledge panel,Thumbnail,Discussions",350,300,400,2015-10-28,"Informational,Non-branded,Non-local"
1537,joshua elementary,us,12,150,3.50,,joshua elementary,2025-05-07 17:56:22,"Thumbnail,Sitelinks,Knowledge panel",150,150,150,2016-04-17,"Informational,Non-branded,Non-local"
1538,grade 8 age,us,11,150,,0.18,how old are you in 8th grade,2025-05-31 02:50:35,"Featured snippet,People also ask,Sitelinks",2100,5200,11000,2015-12-10,"Informational,Non-branded,Non-local"
1539,math tutor for adults,us,7,150,4.00,,online math tutor,2025-05-23 05:27:55,"People also ask,Sitelinks",300,4800,9400,2016-01-17,"Informational,Commercial,Non-branded,Non-local"
1540,how do you say math in spanish,us,0,150,,0.12,math is spanish,2025-06-03 04:10:11,"Knowledge card,People also ask,Sitelinks,Discussions",150,30,40,2015-09-21,"Informational,Non-branded,Non-local"
1541,fire kids tablet,us,1,150,,0.57,amazon fire kids tablet,2025-05-08 10:29:36,"Shopping,Thumbnail,People also ask,Sitelinks,Top stories,Video preview,Discussions",900,2100,2100,2015-09-20,"Informational,Commercial,Transactional,Non-branded,Non-local"
1542,dyslexia with math,us,36,150,1.70,,math dyslexia,2025-05-23 15:01:28,People also ask,200,600,800,2016-04-01,"Informational,Non-branded,Non-local"
1543,kid boot camp,us,0,150,,0.7,boot camp for kids,2025-05-14 00:23:23,"People also ask,Sitelinks,Discussions",200,1800,1800,2015-10-15,"Informational,Non-branded,Non-local"
1544,joshua en español,us,0,150,,0.64,cómo se escribe joshua,2025-05-28 08:17:44,"AI overview,People also ask,Sitelinks,Thumbnail",500,40,400,2015-11-05,"Informational,Non-branded,Non-local"
1545,mathematics tutoring,us,59,150,6.00,,mathnasium,2025-05-14 04:45:43,"Local teaser pack,Sitelinks,People also ask,Top stories,Video preview",700,43000,47000,2016-01-13,"Informational,Commercial,Non-branded,Non-local"
1546,learning cards for kids,us,2,150,,,educational cards,2025-05-30 01:25:36,"Shopping,Thumbnail,Sitelinks,People also ask,Top stories,Discussions",350,200,250,2017-08-06,"Informational,Commercial,Transactional,Non-branded,Non-local"
1547,math tutoring center near me,us,39,150,5.00,,mathnasium,2025-05-28 08:42:41,"Local pack,Sitelinks,People also ask",200,42000,46000,2017-05-04,"Informational,Commercial,Non-branded,Local"
1548,elon musk educational background,us,74,150,0.10,0.91,elon musk,2025-05-11 01:26:27,"Sitelinks,People also ask,Thumbnail,Knowledge panel",200,378000,654000,2015-11-14,"Informational,Non-branded,Non-local"
1549,ap world tutor,us,2,150,8.00,,ap world tutor,2025-05-11 22:55:27,People also ask,200,200,200,2019-03-13,"Informational,Commercial,Transactional,Non-branded,Non-local"
1550,how old are elon musks kids,us,57,150,,,elon musk children ages,2025-05-28 18:56:45,"Thumbnail,People also ask,Sitelinks",150,42000,70000,2017-07-06,"Informational,Non-branded,Non-local"
1551,best apps for 10 year olds,us,14,150,0.70,0.81,fun apps for 10 year olds,2025-06-05 16:53:04,"Sitelinks,People also ask,Discussions",350,500,700,2016-02-01,"Informational,Non-branded,Non-local"
1552,beyond compare 4,us,24,150,0.40,0.92,beyond compare 4,2025-05-29 21:40:41,"People also ask,Sitelinks",500,100,250,2015-09-03,"Navigational,Branded,Non-local"
1553,just kids learning center,us,2,150,,0.72,just kids daycare,2025-05-28 02:09:25,"Local pack,Sitelinks,People also ask",150,250,250,2015-09-03,"Informational,Branded,Non-local"
1554,best game system for kids,us,9,150,,0.88,best game console for 7 year-old,2025-05-16 15:07:27,"Shopping,Thumbnail,People also ask,Sitelinks,Discussions,Top stories",150,60,70,2015-09-07,"Informational,Commercial,Non-branded,Non-local"
1555,math learning app,us,26,150,1.70,,math,2025-05-15 04:21:01,"Sitelinks,People also ask",600,5900,9300,2016-01-15,"Informational,Commercial,Non-branded,Non-local"
1556,math flash,us,17,150,1.00,0.61,flash card math,2025-05-20 13:47:30,"People also ask,Sitelinks",200,3400,3800,2015-09-09,"Informational,Non-branded,Non-local"
1557,are summer classes harder,us,0,100,,1.03,are summer classes harder,2025-05-30 00:52:11,"Sitelinks,People also ask,Top stories",100,50,50,2016-02-10,"Informational,Non-branded,Non-local"
1558,math gpt ai,us,13,100,0.50,,mathgpt,2025-05-27 14:37:10,People also ask,300,73000,173000,2023-04-12,"Informational,Branded,Non-local"
1559,best apps for 4 year olds,us,43,100,1.00,1.5,best apps for 2-3 year olds free,2025-05-10 17:39:46,"Sitelinks,Discussions,People also ask,Top stories,Thumbnail,Video preview",250,3100,3700,2015-11-24,"Informational,Non-branded,Non-local"
1560,coding for toddlers,us,24,100,,1.37,coding for kids,2025-05-14 00:38:32,"Sitelinks,People also ask,Discussions,Top stories,Video preview,Thumbnail",350,4500,9600,2015-10-13,"Informational,Non-branded,Non-local"
1561,gamify learning,us,53,100,3.00,,gamification of learning,2025-05-28 02:47:16,"AI overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",300,1100,2500,2017-06-20,"Informational,Non-branded,Non-local"
1562,how to do times tables,us,30,100,0.60,,times tables.com,2025-05-10 05:36:20,"AI overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",300,169000,278000,2015-12-01,"Informational,Non-branded,Non-local"
1563,4p strategy,us,50,100,1.90,,4ps,2025-05-11 13:52:14,"AI overview,Thumbnail,People also ask,Top stories,Sitelinks",500,13000,44000,2016-05-30,"Informational,Non-branded,Non-local"
1564,gifts for seven year old boy,us,10,100,,1.22,gifts for 7 year old boys,2025-05-12 08:58:31,"Sitelinks,People also ask,Thumbnail,Discussions,Shopping,Top stories",350,14000,20000,2015-10-08,"Informational,Commercial,Non-branded,Non-local"
1565,ai maths solver,us,48,100,0.60,,mathgpt,2025-05-28 03:27:17,"Top stories,Thumbnail,Sitelinks",5300,73000,171000,2022-07-14,"Informational,Non-branded,Non-local"
1566,french flash cards,us,10,100,0.50,0.75,french flashcards,2025-06-02 07:00:29,"Shopping,Thumbnail,Sitelinks,People also ask",250,350,500,2015-10-05,"Informational,Commercial,Non-branded,Non-local"
1567,games for groups of kids,us,12,100,,,group games for kids,2025-05-07 19:34:10,"AI overview,People also ask,Thumbnail,Sitelinks,Top stories",150,1800,1900,2015-10-03,"Informational,Non-branded,Non-local"
1568,homeschool software,us,60,100,3.00,1.05,homeschool software,2025-06-01 05:37:57,"Sitelinks,People also ask",150,60,60,2015-09-08,"Informational,Commercial,Non-branded,Non-local"
1569,kindergarten progress report,us,2,100,0.25,0.88,kindergarten progress report,2025-05-27 14:26:40,"People also ask,Sitelinks",200,60,60,2015-09-17,"Informational,Non-branded,Non-local"
1570,gamify studying,us,1,100,1.20,,gamify studying,2025-05-09 13:29:56,"Sitelinks,People also ask,Thumbnail",900,80,150,2016-12-10,"Informational,Non-branded,Non-local"
1571,astra inc,us,21,100,,,astrafi,2025-05-12 02:47:35,Sitelinks,200,300,300,2015-10-16,"Informational,Branded,Non-local"
1572,3 year old homeschool curriculum,us,8,100,,,3 year old homeschool curriculum,2025-05-21 14:56:08,"Sitelinks,People also ask,Top stories,Video preview",150,300,300,2016-11-23,"Informational,Non-branded,Non-local"
1573,french tutors online,us,28,100,6.00,,french tutor,2025-05-30 17:09:34,"Sitelinks,People also ask",400,2500,4600,2015-12-21,"Informational,Commercial,Transactional,Non-branded,Non-local"
1574,best educational apps for kindergarten,us,63,100,3.00,,kindergarten learning apps,2025-05-18 18:17:24,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview,Discussions",150,300,300,2015-11-17,"Informational,Non-branded,Non-local"
1575,how to become online tutor,us,50,100,0.90,,online tutoring jobs,2025-05-07 12:19:18,"People also ask,Sitelinks,Discussions,Top stories,Video preview",600,22000,45000,2016-02-11,"Informational,Non-branded,Non-local"
1576,best online tutoring websites,us,83,100,2.50,,best online tutoring,2025-05-29 02:23:53,"Sitelinks,People also ask,Discussions",600,1800,2300,2016-04-23,"Informational,Commercial,Non-branded,Non-local"
1577,math tutor for 4th grade near me,us,27,100,,,4th grade math tutor,2025-05-15 20:58:31,"Local pack,People also ask,Sitelinks",150,250,250,2019-12-06,"Informational,Commercial,Non-branded,Local"
1578,artificial intelligence tutor,us,10,100,1.50,,ai tutor,2025-06-01 21:02:24,"People also ask,Sitelinks,Top stories,Thumbnail",150,800,2900,2015-10-28,"Informational,Non-branded,Non-local"
1579,7am cet,us,8,100,,,cet to est,2025-05-31 19:14:11,"People also ask,Sitelinks",700,6300,9100,2015-10-01,"Informational,Non-branded,Non-local"
1580,8th grade math tutors near me,us,10,100,,,8th grade math tutor,2025-05-10 14:25:46,"Local pack,People also ask",150,150,150,2018-05-26,"Informational,Commercial,Non-branded,Local"
1581,math is fun.com,us,1,100,1.20,0.83,math is fun,2025-05-30 12:45:05,Sitelinks,150,20000,41000,2015-09-02,"Informational,Navigational,Branded,Non-local"
1582,dyslexia games,us,10,100,0.30,1.03,dyslexia games,2025-05-14 12:14:54,"Sitelinks,People also ask",250,100,100,2015-09-12,"Informational,Non-branded,Non-local"
